# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 8.17657303e-16   1.91238506e-17     2.129477    0.000000    sinfoni
 8.31547520e-16   1.91243854e-17     2.129728    0.000000    sinfoni
 8.11075181e-16   1.91852389e-17     2.129978    0.000000    sinfoni
 8.45737978e-16   1.91686572e-17     2.130228    0.000000    sinfoni
 8.46326322e-16   1.92604769e-17     2.130479    0.000000    sinfoni
 8.45777643e-16   1.91490375e-17     2.130729    0.000000    sinfoni
 8.31888562e-16   1.91446235e-17     2.130980    0.000000    sinfoni
 8.51695895e-16   1.92860014e-17     2.131230    0.000000    sinfoni
 8.83189012e-16   1.95852704e-17     2.131481    0.000000    sinfoni
 8.63898733e-16   1.99209864e-17     2.131731    0.000000    sinfoni
 8.57882071e-16   1.97600552e-17     2.131982    0.000000    sinfoni
 8.35777020e-16   1.95663727e-17     2.132232    0.000000    sinfoni
 8.29559852e-16   1.98729580e-17     2.132482    0.000000    sinfoni
 8.30610877e-16   1.91567139e-17     2.132733    0.000000    sinfoni
 8.49305777e-16   1.93455107e-17     2.132983    0.000000    sinfoni
 8.58566223e-16   1.95038324e-17     2.133234    0.000000    sinfoni
 8.58805564e-16   1.93905791e-17     2.133484    0.000000    sinfoni
 8.71540029e-16   1.94056539e-17     2.133735    0.000000    sinfoni
 8.72890328e-16   1.92472654e-17     2.133985    0.000000    sinfoni
 8.19434925e-16   1.91603162e-17     2.134236    0.000000    sinfoni
 8.41467013e-16   1.89016833e-17     2.134486    0.000000    sinfoni
 8.35918370e-16   1.89201320e-17     2.134737    0.000000    sinfoni
 8.51990967e-16   1.89160135e-17     2.134987    0.000000    sinfoni
 8.71909481e-16   1.88638360e-17     2.135238    0.000000    sinfoni
 8.82303906e-16   1.93802431e-17     2.135488    0.000000    sinfoni
 8.91300163e-16   1.95639616e-17     2.135739    0.000000    sinfoni
 8.78069474e-16   1.92554553e-17     2.135989    0.000000    sinfoni
 8.30695074e-16   1.90264744e-17     2.136240    0.000000    sinfoni
 8.60317913e-16   1.91107882e-17     2.136490    0.000000    sinfoni
 8.60941943e-16   1.92784442e-17     2.136741    0.000000    sinfoni
 8.57599235e-16   1.91086901e-17     2.136991    0.000000    sinfoni
 8.35349619e-16   1.92186775e-17     2.137242    0.000000    sinfoni
 8.68326287e-16   1.91604301e-17     2.137492    0.000000    sinfoni
 8.58492100e-16   1.92137070e-17     2.137743    0.000000    sinfoni
 8.50819093e-16   1.91499133e-17     2.137993    0.000000    sinfoni
 8.37676712e-16   1.89535402e-17     2.138243    0.000000    sinfoni
 8.07002125e-16   1.90033545e-17     2.138494    0.000000    sinfoni
 8.12117052e-16   1.87134761e-17     2.138745    0.000000    sinfoni
 8.24089793e-16   1.87229996e-17     2.138995    0.000000    sinfoni
 8.44212054e-16   1.89138951e-17     2.139246    0.000000    sinfoni
 8.61199684e-16   1.91467351e-17     2.139496    0.000000    sinfoni
 8.71156713e-16   1.91291664e-17     2.139747    0.000000    sinfoni
 8.52795375e-16   1.90301569e-17     2.139997    0.000000    sinfoni
 8.41071212e-16   1.87329447e-17     2.140248    0.000000    sinfoni
 7.95546591e-16   1.85492828e-17     2.140498    0.000000    sinfoni
 8.22990977e-16   1.86762228e-17     2.140749    0.000000    sinfoni
 8.33545926e-16   1.89837020e-17     2.141000    0.000000    sinfoni
 8.38918172e-16   1.89013754e-17     2.141250    0.000000    sinfoni
 8.44925589e-16   1.89041855e-17     2.141500    0.000000    sinfoni
 8.50790529e-16   1.90951374e-17     2.141751    0.000000    sinfoni
 8.41913346e-16   1.90913436e-17     2.142002    0.000000    sinfoni
 8.33043934e-16   1.89506174e-17     2.142252    0.000000    sinfoni
 8.07902305e-16   1.87267701e-17     2.142503    0.000000    sinfoni
 8.23210880e-16   1.86381193e-17     2.142753    0.000000    sinfoni
 8.23938624e-16   1.88398254e-17     2.143004    0.000000    sinfoni
 8.46448931e-16   1.88214874e-17     2.143254    0.000000    sinfoni
 8.61203429e-16   1.88459049e-17     2.143505    0.000000    sinfoni
 8.85963037e-16   1.91059755e-17     2.143756    0.000000    sinfoni
 9.13655631e-16   1.91930787e-17     2.144006    0.000000    sinfoni
 9.01856644e-16   1.92182543e-17     2.144257    0.000000    sinfoni
 8.84761609e-16   1.94586418e-17     2.144507    0.000000    sinfoni
 8.91285749e-16   1.91887993e-17     2.144758    0.000000    sinfoni
 8.94722991e-16   1.91757729e-17     2.145008    0.000000    sinfoni
 8.99826422e-16   1.90694930e-17     2.145259    0.000000    sinfoni
 8.96625854e-16   1.90207328e-17     2.145510    0.000000    sinfoni
 8.72388992e-16   1.89350409e-17     2.145761    0.000000    sinfoni
 8.75736804e-16   1.89614797e-17     2.146011    0.000000    sinfoni
 8.80615601e-16   1.90124929e-17     2.146262    0.000000    sinfoni
 8.97881638e-16   1.88266791e-17     2.146512    0.000000    sinfoni
 8.73189166e-16   1.87849365e-17     2.146763    0.000000    sinfoni
 8.91560508e-16   1.87777562e-17     2.147013    0.000000    sinfoni
 8.92135447e-16   1.87106522e-17     2.147264    0.000000    sinfoni
 8.69224171e-16   1.88348250e-17     2.147515    0.000000    sinfoni
 8.66571944e-16   1.86504581e-17     2.147766    0.000000    sinfoni
 8.39227088e-16   1.87829281e-17     2.148016    0.000000    sinfoni
 8.52589723e-16   1.87075575e-17     2.148266    0.000000    sinfoni
 8.47585636e-16   1.87487170e-17     2.148517    0.000000    sinfoni
 8.44096459e-16   1.88724255e-17     2.148768    0.000000    sinfoni
 8.26249197e-16   1.88804495e-17     2.149019    0.000000    sinfoni
 8.25430170e-16   1.88629423e-17     2.149269    0.000000    sinfoni
 8.41653778e-16   1.88094683e-17     2.149520    0.000000    sinfoni
 8.14074723e-16   1.88296302e-17     2.149770    0.000000    sinfoni
 7.97455921e-16   1.96036045e-17     2.150021    0.000000    sinfoni
 8.13190762e-16   2.10831566e-17     2.150272    0.000000    sinfoni
 8.77252793e-16   2.41803453e-17     2.150522    0.000000    sinfoni
 8.32468976e-16   2.21562390e-17     2.150773    0.000000    sinfoni
 8.38092472e-16   2.02430753e-17     2.151024    0.000000    sinfoni
 8.50331757e-16   1.98367061e-17     2.151275    0.000000    sinfoni
 8.90952585e-16   1.90578334e-17     2.151525    0.000000    sinfoni
 8.57263700e-16   1.89330381e-17     2.151776    0.000000    sinfoni
 8.27947755e-16   1.90621350e-17     2.152026    0.000000    sinfoni
 8.38427855e-16   1.88842212e-17     2.152277    0.000000    sinfoni
 8.45485585e-16   1.90246601e-17     2.152528    0.000000    sinfoni
 8.47282152e-16   1.91928142e-17     2.152778    0.000000    sinfoni
 8.01107876e-16   1.92564992e-17     2.153029    0.000000    sinfoni
 8.26152760e-16   1.95751313e-17     2.153280    0.000000    sinfoni
 8.66937327e-16   2.09674639e-17     2.153531    0.000000    sinfoni
 8.77956611e-16   2.02799800e-17     2.153781    0.000000    sinfoni
 8.71596720e-16   1.95703541e-17     2.154032    0.000000    sinfoni
 8.49729056e-16   1.95071022e-17     2.154283    0.000000    sinfoni
 8.47337225e-16   1.89754539e-17     2.154533    0.000000    sinfoni
 8.78208020e-16   1.89464701e-17     2.154784    0.000000    sinfoni
 8.76024477e-16   1.87758193e-17     2.155035    0.000000    sinfoni
 8.62650083e-16   1.88063323e-17     2.155286    0.000000    sinfoni
 8.76332517e-16   1.87366524e-17     2.155536    0.000000    sinfoni
 8.55482850e-16   1.86153119e-17     2.155787    0.000000    sinfoni
 8.48093446e-16   1.87132311e-17     2.156038    0.000000    sinfoni
 8.55587652e-16   1.87272184e-17     2.156289    0.000000    sinfoni
 8.60069179e-16   1.86419583e-17     2.156539    0.000000    sinfoni
 8.83250917e-16   1.88089395e-17     2.156790    0.000000    sinfoni
 8.92341995e-16   1.89721861e-17     2.157041    0.000000    sinfoni
 8.82391711e-16   1.89773418e-17     2.157292    0.000000    sinfoni
 8.79537611e-16   1.92925084e-17     2.157542    0.000000    sinfoni
 9.07184305e-16   1.97120209e-17     2.157793    0.000000    sinfoni
 8.89883493e-16   1.94897560e-17     2.158044    0.000000    sinfoni
 8.73875785e-16   1.87131655e-17     2.158294    0.000000    sinfoni
 8.62672676e-16   1.85065270e-17     2.158545    0.000000    sinfoni
 8.84706936e-16   1.86677043e-17     2.158796    0.000000    sinfoni
 8.86105661e-16   1.88500403e-17     2.159047    0.000000    sinfoni
 8.62473997e-16   1.86620413e-17     2.159298    0.000000    sinfoni
 8.47016552e-16   1.85672318e-17     2.159548    0.000000    sinfoni
 8.63637515e-16   1.88842193e-17     2.159799    0.000000    sinfoni
 8.74221491e-16   1.88214680e-17     2.160050    0.000000    sinfoni
 8.39184969e-16   1.86440714e-17     2.160300    0.000000    sinfoni
 8.24417078e-16   1.85506674e-17     2.160551    0.000000    sinfoni
 8.59100311e-16   1.88858223e-17     2.160802    0.000000    sinfoni
 9.00707646e-16   1.90429551e-17     2.161053    0.000000    sinfoni
 9.09633163e-16   1.90359863e-17     2.161304    0.000000    sinfoni
 9.20421210e-16   1.88767153e-17     2.161554    0.000000    sinfoni
 8.82608546e-16   1.88982880e-17     2.161805    0.000000    sinfoni
 8.67866098e-16   1.86277537e-17     2.162056    0.000000    sinfoni
 8.54679821e-16   1.87086185e-17     2.162306    0.000000    sinfoni
 8.85705424e-16   1.85632450e-17     2.162557    0.000000    sinfoni
 8.83699892e-16   1.85580086e-17     2.162808    0.000000    sinfoni
 8.69011266e-16   1.87374329e-17     2.163059    0.000000    sinfoni
 8.54489016e-16   1.95960500e-17     2.163310    0.000000    sinfoni
 8.74569285e-16   1.91558252e-17     2.163561    0.000000    sinfoni
 8.70268443e-16   1.87444727e-17     2.163812    0.000000    sinfoni
 8.87298046e-16   1.86856139e-17     2.164063    0.000000    sinfoni
 8.98652673e-16   1.85943203e-17     2.164313    0.000000    sinfoni
 9.20188228e-16   1.87133080e-17     2.164564    0.000000    sinfoni
 9.34582818e-16   1.87155877e-17     2.164815    0.000000    sinfoni
 9.08370579e-16   1.83661589e-17     2.165066    0.000000    sinfoni
 9.02216480e-16   1.83282146e-17     2.165316    0.000000    sinfoni
